sample id,region id,cell id,movie id,global_start_frame,path
20250722-2,0,33,0,0,20250722-2/000033-0.npy
20250722-2,0,33,1,20,20250722-2/000033-1.npy
20250722-2,0,33,2,40,20250722-2/000033-2.npy
20250722-2,0,34,0,0,20250722-2/000034-0.npy
20250722-2,0,34,1,20,20250722-2/000034-1.npy
20250722-2,0,34,2,40,20250722-2/000034-2.npy
20250722-2,0,35,0,0,20250722-2/000035-0.npy
20250722-2,0,35,1,20,20250722-2/000035-1.npy
20250722-2,0,35,2,40,20250722-2/000035-2.npy
20250722-2,0,36,0,0,20250722-2/000036-0.npy
20250722-2,0,36,1,20,20250722-2/000036-1.npy
20250722-2,0,36,2,40,20250722-2/000036-2.npy
20250722-2,0,37,0,0,20250722-2/000037-0.npy
20250722-2,0,37,1,20,20250722-2/000037-1.npy
20250722-2,0,37,2,40,20250722-2/000037-2.npy
20250722-2,0,38,0,0,20250722-2/000038-0.npy
20250722-2,0,38,1,20,20250722-2/000038-1.npy
20250722-2,0,38,2,40,20250722-2/000038-2.npy
20250722-2,0,39,0,0,20250722-2/000039-0.npy
20250722-2,0,39,1,20,20250722-2/000039-1.npy
20250722-2,0,39,2,40,20250722-2/000039-2.npy
20250722-2,0,40,0,0,20250722-2/000040-0.npy
20250722-2,0,40,1,20,20250722-2/000040-1.npy
20250722-2,0,40,2,40,20250722-2/000040-2.npy
20250722-2,0,41,0,0,20250722-2/000041-0.npy
20250722-2,0,41,1,20,20250722-2/000041-1.npy
20250722-2,0,41,2,40,20250722-2/000041-2.npy
20250722-2,0,42,0,0,20250722-2/000042-0.npy
20250722-2,0,42,1,20,20250722-2/000042-1.npy
20250722-2,0,42,2,40,20250722-2/000042-2.npy
20250722-2,0,43,0,0,20250722-2/000043-0.npy
20250722-2,0,43,1,20,20250722-2/000043-1.npy
20250722-2,0,43,2,40,20250722-2/000043-2.npy
20250722-2,0,44,0,0,20250722-2/000044-0.npy
20250722-2,0,44,1,20,20250722-2/000044-1.npy
20250722-2,0,44,2,40,20250722-2/000044-2.npy
20250722-2,0,45,0,0,20250722-2/000045-0.npy
20250722-2,0,45,1,20,20250722-2/000045-1.npy
20250722-2,0,45,2,40,20250722-2/000045-2.npy
